location,barcode,itemcode,scan_qty,scan_date,inspector,user_id
Faroe Islands,503880559546,1661121159191,216,12-04-21,Jennica,1
Tokelau,3498133158174,4760796750527,102,05-03-21,Sabina,1
Japan,2304271987283,5505140246528,875,29-06-21,Mildrid,1
"Congo, The Democratic Republic of the",7430668759912,3586646098583,941,23-10-21,Gerrie,1
Sweden,2580884206887,1402952348188,913,05-06-21,Katleen,1
Kyrgyzstan,8922075945895,4720612624250,795,01-08-21,Dennie,1
"Palestinian Territory, Occupied",6117031070847,1072327158938,711,06-06-21,Rani,1
Namibia,1691610869064,5819205202369,516,26-07-21,Mariele,1
Armenia,2495112491026,9072573018967,388,16-10-21,Jordan,1
Norway,7483080488139,8426986655611,678,25-07-21,Zsa Zsa,1
Portugal,4748870281622,7838443562798,639,11-04-21,Gale,1
Malta,6301071307230,8686521976851,10,10-01-21,Sarette,1
"Taiwan, Province of China",2404972383600,3184256194668,924,19-08-21,Shauna,1
Monaco,9878418134776,9795473360404,250,01-04-21,Calla,1
Greenland,7090165429376,2754175271792,167,26-05-21,Nikki,1
Kiribati,5373620161572,2275180570438,202,02-08-21,Lisette,1
Syrian Arab Republic,488429326253,6779763085933,264,24-05-21,Joeann,1
Iceland,7384466427007,6073918709833,998,27-10-21,Monika,1
Dominican Republic,1563243236916,2441829847417,879,23-01-21,Beth,1
Cambodia,5589055007258,8490760864947,441,17-08-21,Kalina,1
Belarus,6418935702824,9374479493536,492,18-09-21,Rosaline,1
Philippines,455280205332,8238577157394,39,05-04-21,Claudina,1
Chile,6067187371726,8948562518937,119,01-07-21,Lita,1
Botswana,1142856650101,8478818952616,600,01-04-21,Maryellen,1
Estonia,4011480554450,5439222653314,249,02-12-21,Siana,1
Yemen,2001391797779,1978491533045,209,16-10-21,Ada,1
South Africa,6420594380549,4514622713827,628,09-07-21,Adele,1
Gibraltar,372165128839,7344817980212,460,10-07-21,Melisent,1
Zimbabwe,1451184849712,9406480985024,232,07-07-21,Regina,1
Iraq,8485615364426,910779997451,61,09-09-21,Fanchon,1
Bosnia and Herzegovina,2558320159293,1564925265342,874,08-12-21,Hettie,1
Jordan,3987667265004,8335414861919,401,18-03-21,Marti,1
Uzbekistan,2628765902079,9711732038706,898,10-03-21,Edith,1
Morocco,9243447218402,3501587130910,164,04-12-21,Augustine,1
Paraguay,2036095696124,8702072346801,639,02-11-21,Ebonee,1
Belgium,6469312035887,7352895810192,722,14-07-21,Tani,1
Botswana,8889489135686,8033920768023,923,18-08-21,Frank,1
Zambia,7007135949169,4434817130696,101,09-05-21,Jenilee,1
"Congo, The Democratic Republic of the",944640519255,3174406871144,730,20-07-21,Bibby,1
Antarctica,2735019137386,5427752454195,641,27-08-21,Lizzie,1
Libyan Arab Jamahiriya,5619072541220,4388658388589,394,24-11-21,Joy,1
Argentina,9101096982124,1423978543013,2,24-12-21,Wendi,1
Mauritius,7833669401327,7417033797969,173,27-08-21,Jenilee,1
Switzerland,2481691135337,9160801218326,861,05-05-21,Tamqrah,1
Mauritania,75986907254,3715870140873,690,18-08-21,Debee,1
Colombia,3145023268393,9183540987404,760,23-06-21,Orelia,1
Yemen,2990893747813,3950204645263,1000,18-09-21,Corina,1
Cook Islands,135533491601,2232116517844,931,08-06-21,Arlena,1
Albania,7236035288616,5811414941409,850,30-08-21,Margette,1
Portugal,3152129410580,6555767430319,17,03-01-21,Aigneis,1
Botswana,7084117846468,7249146780824,668,26-06-21,Felice,1
Morocco,775843311915,280235481206,264,07-01-21,Wynne,1
Colombia,2693360680990,1487222106279,271,13-02-21,Jenilee,1
"Virgin Islands, British",4023347895255,7626799778933,736,04-06-21,Agathe,1
Bangladesh,9533936785189,4602525914762,294,24-12-21,Mara,1
Georgia,5689876205798,92522836736,770,08-11-21,Nelle,1
Mauritius,7041773833773,1394974019173,263,29-01-21,Hyacinthe,1
Dominica,6482258353274,4828960755362,353,25-11-21,Mariele,1
Zambia,6692356338491,1977124694378,461,25-04-21,Georgetta,1
Macao,6118086963496,3191027987246,84,24-08-21,Codie,1
Uganda,2399007629773,8965019235061,378,19-08-21,Glynnis,1
Canada,8642333675189,6076415099612,894,15-05-21,Arabel,1
Yemen,4496045006591,1385465477663,888,03-01-21,Hildegaard,1
American Samoa,4620174467538,7981087857272,121,10-06-21,Ulrike,1
Georgia,2947031657097,8508584231695,394,10-11-21,Sean,1
Kuwait,6993799206647,7083840955597,751,09-10-21,Sandie,1
Turks and Caicos Islands,1251760986743,491881881557,37,11-03-21,Ellette,1
Bolivia,3223840070174,7872576150635,470,10-06-21,Elise,1
Benin,9023841614569,7067983502103,787,14-09-21,Sean,1
Liechtenstein,4729526433604,5329725084052,224,02-12-21,Rosabelle,1
Ukraine,2986599231402,4767056519075,627,29-07-21,Feliza,1
"Virgin Islands, British",1355738614793,3938896354083,281,09-07-21,Cassandra,1
Algeria,7264885954712,9622178435761,901,09-04-21,Leeanne,1
Slovenia,3568674036418,708112241392,827,17-09-21,Susan,1
Martinique,9356093247318,2580641792868,238,09-10-21,Teriann,1
Kazakhstan,9684018794855,8027128112352,117,25-09-21,Lorie,1
Marshall Islands,5796837754365,1138554839810,263,22-12-21,Vere,1
Romania,2198381307848,8170726691507,891,29-08-21,Nadine,1
Saint Pierre and Miquelon,1982496985186,1197183054096,778,19-09-21,Minne,1
Poland,8027780431379,1040049048644,360,16-08-21,Etta,1
"Virgin Islands, British",541239403811,7814492270054,195,13-02-21,Ninnetta,1
Sao Tome and Principe,3316902335335,4676523082162,167,06-09-21,Sue,1
Somalia,5051466371770,5458479936537,617,27-11-21,Elena,1
Mauritius,1673585556174,5328986869871,422,16-07-21,Talya,1
Uruguay,3444354794976,2544157405936,389,08-03-21,Kirstin,1
Iraq,5436058217615,4118178555211,981,01-12-21,Philis,1
Ecuador,8904180851734,2776369925558,411,19-02-21,Charmaine,1
Macao,4275922115382,5920262923266,641,25-02-21,Deirdre,1
Sri Lanka,9485896258861,672947417680,264,01-06-21,Rivalee,1
AndorrA,5730244531799,9531219485385,953,06-08-21,Ninnetta,1
Nigeria,1448696261483,8913822663694,287,21-06-21,Jasmina,1
Somalia,1024789801831,5224156740721,889,15-04-21,Beth,1
New Zealand,5972836344146,5469395742113,528,29-10-21,Cathyleen,1
United Kingdom,2993298903525,7590085863149,75,02-10-21,Monika,1
Germany,2772246189112,2548349289865,912,15-04-21,Elora,1
Christmas Island,6225406310833,4663471914640,353,12-05-21,Trudie,1
Jordan,7029431546785,4166215271160,600,04-01-21,Mureil,1
"Moldova, Republic of",4001310290637,15402963882,556,29-04-21,Dode,1
Mauritius,988376762988,5918144121321,55,11-07-21,Libbie,1
AndorrA,9906133359980,5838300499633,829,30-10-21,Donetta,1
Anguilla,5522666056324,5332371007924,757,02-06-21,Nadine,1
Equatorial Guinea,3172545310538,2976134234532,505,06-04-21,Karolina,1
Maldives,4325943617566,1791095506979,681,29-03-21,Mireielle,1
Antigua and Barbuda,3637493807958,9524244849322,252,22-10-21,Lolita,1
Wallis and Futuna,2679164282505,3321980136368,356,02-07-21,Viki,1
Malaysia,886433618232,7029969909339,526,05-06-21,Laurene,1
Senegal,6213656157817,289883991922,161,26-01-21,Veda,1
Saint Kitts and Nevis,4661475664488,3762831493066,198,06-01-21,Millie,1
Cameroon,5868557372387,5632060923863,770,09-12-21,Noelle,1
Viet Nam,4441101666157,9088099519579,263,07-09-21,Brianna,1
Grenada,9919889143118,3311471881907,558,12-04-21,Sissy,1
Angola,3043627738564,4097068475820,788,15-11-21,Karolina,1
"Macedonia, The Former Yugoslav Republic of",9703732394592,3531553943018,892,07-07-21,Rosaline,1
Liberia,3411499225595,4763625485197,333,08-03-21,Roslyn,1
New Caledonia,3983872486759,986449567086,884,18-09-21,Kamilah,1
Sierra Leone,6652711328551,1646361707324,661,06-07-21,Susette,1
Nauru,448784798560,8484540345939,959,01-07-21,Eolanda,1
Bermuda,4281011407144,3963558762270,767,08-08-21,Gwyneth,1
Aruba,3984182549292,4619015599223,776,10-04-21,Marguerite,1
Burkina Faso,7252077430294,5651055637662,128,08-06-21,Myriam,1
"Congo, The Democratic Republic of the",9075469861256,1744100981885,640,12-05-21,Monika,1
"Taiwan, Province of China",2195876307902,5254248828655,139,28-03-21,Tori,1
Croatia,2384013116396,6618684144235,176,17-12-21,Emylee,1
Holy See (Vatican City State),5672968905058,5002208303058,527,01-08-21,Alleen,1
Nauru,9024428300667,1708524617884,103,01-07-21,Cecile,1
Cocos (Keeling) Islands,1897884802757,962571023561,268,08-09-21,Larine,1
Dominica,8954115979928,9339152824440,476,16-07-21,Jobi,1
Niger,6071929253937,1427296517860,143,31-12-21,Rori,1
French Polynesia,4381068442026,5717163895191,868,13-01-21,Teddie,1
Austria,6273208896915,5858872208674,853,07-06-21,Olwen,1
Bosnia and Herzegovina,5465927042068,5845918393392,43,01-04-21,Phedra,1
French Southern Territories,8318560236948,957152380596,608,21-03-21,Hettie,1
Wallis and Futuna,5409284919002,3901575891870,588,16-07-21,Danny,1
Switzerland,7954075641613,6977048690278,993,16-05-21,Berta,1
Viet Nam,159328658716,3454849292006,355,05-02-21,Belinda,1
Solomon Islands,8494786750962,1314774938670,154,12-05-21,Maridel,1
Nauru,4880688719771,1166944497042,637,27-11-21,Agnese,1
Canada,2698582185734,6318223234588,378,06-08-21,Modestia,1
Guadeloupe,7248304357867,2683145589119,869,07-12-21,Gaylene,1
Reunion,4095771982261,3546703499489,582,20-03-21,Estell,1
Armenia,1948554797308,956331649927,525,03-12-21,Tressa,1
Tajikistan,9705595231855,3773407077104,225,14-02-21,Chere,1
San Marino,7673851230438,56332368016,137,21-10-21,Amara,1
Malawi,7031909185686,674797518376,323,23-12-21,Susan,1
Singapore,7121979386489,27920582006,228,01-03-21,Modestia,1
Niger,19923420432,7714785800331,932,06-09-21,Nessie,1
Barbados,1646876484837,5440789112655,682,20-02-21,Leeanne,1
Sudan,3376480709491,2019091486928,793,24-04-21,Fawne,1
Grenada,7362916600414,8514198345456,969,26-02-21,Josephine,1
Russian Federation,7250155251943,8199631970208,866,02-04-21,Jaime,1
Chile,5654282199479,9282448678601,203,30-09-21,Flory,1
United Arab Emirates,305333900222,9669581798699,857,31-05-21,Ketti,1
India,8289022296664,7315737041490,894,19-10-21,Beatriz,1
Chile,4592524803108,879676701965,829,19-10-21,Elmira,1
Australia,6345541588435,9164281214193,240,14-10-21,Priscilla,1
Sudan,5084871265525,2104610654722,884,28-06-21,Magdalena,1
Iceland,4502071799367,1459590487499,292,04-10-21,Ninnetta,1
"Cote D""Ivoire",4199844256744,2513196599014,573,26-01-21,Maye,1
Tuvalu,6737951634747,8872400089438,797,27-07-21,Ardys,1
Sudan,7357404097111,4360339665650,911,09-12-21,Shaine,1
"Macedonia, The Former Yugoslav Republic of",2102992465339,5971806223091,827,08-02-21,Jsandye,1
Angola,643434333364,6896698056708,880,26-11-21,June,1
"Iran, Islamic Republic Of",4089186239877,5586472210075,188,27-09-21,Stevana,1
Singapore,8691714554375,9089846575131,293,12-09-21,Wanda,1
Viet Nam,3035648464167,8137925165727,518,02-04-21,Sidoney,1
Malaysia,5058376726385,5317507397289,8,02-06-21,Emmey,1
French Polynesia,1709151860286,1371281480252,712,12-12-21,Leanna,1
Tonga,4489291479560,8444103358123,958,25-04-21,Tiffie,1
Ghana,9963226514255,6912440182868,605,23-04-21,Xylina,1
Germany,2418484060877,8820598763265,722,29-07-21,Joeann,1
Bangladesh,1316232763364,1963773968249,514,09-09-21,Dotty,1
Isle of Man,9895513474588,3024693574852,433,09-06-21,Belva,1
Guernsey,6626725811752,7590537319412,136,28-04-21,Lindie,1
Lesotho,7276501829395,2382371461548,959,23-04-21,Delilah,1
"Cote D""Ivoire",8213928514099,3188615719893,32,02-08-21,Petronia,1
Saint Helena,4954716324826,4295091242258,206,30-06-21,Marti,1
"Cote D""Ivoire",6493784149402,8111385486593,139,02-01-21,Nelle,1
Falkland Islands (Malvinas),4820758889798,138783686236,156,16-08-21,Ada,1
Benin,9416932106334,9564650193388,88,14-02-21,Oralee,1
Australia,9542599842616,9390989589201,187,25-09-21,Collen,1
Zimbabwe,6406454186544,2756728071838,831,18-02-21,Emma,1
Greenland,9403587874896,4653863752893,544,22-11-21,Alejandra,1
Jersey,7329941908371,8213020702523,138,12-12-21,Nananne,1
"Tanzania, United Republic of",3460104289247,4639911423141,306,27-07-21,Kate,1
India,1331377988427,3180153493792,168,06-05-21,Sadie,1
Japan,285207287947,5116159869955,438,03-07-21,Lilith,1
United States Minor Outlying Islands,1683806999085,3378053381741,525,19-08-21,Nikki,1
Zimbabwe,9725211318433,4318072093324,995,06-06-21,Katleen,1
Bosnia and Herzegovina,7038055083645,8320711245713,643,17-05-21,Albertina,1
Bangladesh,7858047466053,6592268286662,325,26-09-21,Allyce,1
Cayman Islands,3024728247948,4506744244571,54,27-05-21,Paule,1
Niue,3585193184658,3496563036660,993,29-07-21,Talya,1
Oman,757640165796,5229548488053,796,17-11-21,Willetta,1
Czech Republic,7718883194117,6988977546332,411,17-01-21,Concettina,1
Peru,186756109028,4265247855245,998,19-11-21,Lorie,1
Dominican Republic,9157278585470,7663736855777,101,12-08-21,Jan,1
Ukraine,5491690260132,9627289272139,66,26-12-21,Emmey,1
Kiribati,3474556735264,6944672548773,928,11-09-21,Aili,1
"Korea, Democratic People""S Republic of",585482781266,9453298475272,297,29-01-21,Eadie,1
Wallis and Futuna,3474080148719,9305763603525,378,14-03-21,Cassondra,1
Lesotho,199276521620,5158452989266,279,16-07-21,Sonni,1
Bulgaria,5891771125402,216508734963,35,18-07-21,Shandie,1
Papua New Guinea,2927933511624,7250881501109,165,06-04-21,Hildegaard,1
Syrian Arab Republic,2595026088274,5744591996158,26,19-10-21,Linet,1
Fiji,2899679808725,2650668930142,520,19-12-21,Valli,1
Swaziland,1005810972782,4541544575952,630,30-10-21,Elbertina,1
"Lao People""S Democratic Republic",7161188573084,4940011149091,618,06-12-21,Stephanie,1
Liechtenstein,6520897259566,1906375971917,78,30-12-21,Cristine,1
Congo,7508654824951,8633747318765,178,19-03-21,Ginnie,1
United States,5154485093750,2895432971956,137,18-10-21,Tressa,1
Libyan Arab Jamahiriya,6714801274150,6503471800298,986,05-10-21,Lorenza,1
British Indian Ocean Territory,7015073177139,7360842444607,236,01-11-21,Marleah,1
Kazakhstan,2122563459771,3265082927744,599,26-08-21,Halette,1
Guyana,2359347425536,9457015614690,859,14-09-21,Bettine,1
Angola,7398072672219,8846970020338,628,15-10-21,Lanae,1
Faroe Islands,6721997510930,8181610367636,179,22-02-21,Aeriela,1
RWANDA,690566416033,3119575833128,589,10-10-21,Melisent,1
Norfolk Island,8989521068302,1296827109348,906,02-08-21,Kelly,1
Morocco,1240766965255,7324166587881,665,12-04-21,Gale,1
Cook Islands,3822124082574,7953556313888,49,13-08-21,Corina,1
British Indian Ocean Territory,9879664678079,277167384444,563,05-01-21,Amalie,1
Brazil,5268732110224,4850833242915,902,05-01-21,Hope,1
Israel,2201418754111,9580041926839,161,03-07-21,Annecorinne,1
Australia,156413499176,8744163316083,828,14-04-21,Devina,1
Morocco,9430437025594,8962426854267,427,19-11-21,Doro,1
Guinea,4091701186978,5701822823077,51,05-01-21,Aryn,1
"Iran, Islamic Republic Of",7667799070289,6384700588460,219,20-06-21,Florie,1
Algeria,2114586946959,3254827737134,563,05-04-21,Sindee,1
Christmas Island,3080453766969,5874793488869,607,09-10-21,Shel,1
Portugal,3481863249984,2354028066166,995,23-08-21,Kalina,1
Svalbard and Jan Mayen,3299381751030,662537352205,392,12-06-21,Kirbee,1
Chad,5791315809691,5135506670863,639,24-05-21,Belinda,1
Uruguay,5501021651198,6627520131248,244,28-08-21,Carmela,1
Comoros,819361701575,8270782177949,566,14-11-21,Lindie,1
"Cote D""Ivoire",5955066038204,6034704717579,449,10-05-21,Tori,1
Bangladesh,8455538420619,2076815361139,168,02-09-21,Konstance,1
Nicaragua,6808350893619,7037280498906,3,29-03-21,Jaime,1
Tajikistan,2345581382467,2126659053711,729,18-12-21,Elfreda,1
Libyan Arab Jamahiriya,6113401357352,513985247780,562,07-03-21,Pollyanna,1
French Southern Territories,5260197313558,8022580277164,39,24-04-21,Christal,1
French Polynesia,644996920457,4383731111290,472,13-07-21,Jolyn,1
Serbia and Montenegro,5389819670948,6344339707444,327,16-08-21,Alameda,1
Papua New Guinea,99000498557,7630239069606,639,10-08-21,Ethel,1
Albania,8864293574365,591703577548,742,02-07-21,Riannon,1
Norfolk Island,1749572293894,2494725851459,432,24-06-21,Winny,1
Swaziland,6190687181495,4994223396548,549,19-12-21,Rebeca,1
AndorrA,7146063954488,7805535145678,359,25-08-21,Zondra,1
Zimbabwe,3893163611144,6270989461248,863,13-10-21,Ariela,1
Botswana,4559237852048,3139367377830,10,12-10-21,Augustine,1
Fiji,4461441568837,2284679425335,830,30-01-21,Karina,1
Lithuania,2668828521099,2310851785762,93,21-04-21,Angelique,1
Guernsey,5801778208501,1420507350591,251,07-01-21,Meg,1
Indonesia,4487709222434,717618513005,351,25-03-21,Janeczka,1
Somalia,2006888216858,3140864007509,356,08-01-21,Elyssa,1
Macao,939024037187,7181078385406,730,23-06-21,Marylou,1
Hungary,6000523597851,3434733942963,699,05-12-21,Cyb,1
Nigeria,8968609522397,1562716264414,143,23-12-21,Elsie,1
Niue,120855217463,9952310717437,607,06-03-21,Joy,1
Sweden,5630480717933,7962247318872,765,07-02-21,Tressa,1
Finland,7018648445835,2232084005332,156,20-02-21,Nita,1
Djibouti,7931280823278,1959917283688,207,22-03-21,Phedra,1
Antarctica,9135549556669,8719692519995,680,08-04-21,Alexine,1
Greece,3280995291253,3345175169612,155,25-01-21,Linet,1
Armenia,469837405537,2586072993424,511,11-11-21,Sidoney,1
Guinea-Bissau,2194961496519,8687208324316,983,24-10-21,Andree,1
Mali,418340328755,6162848596670,686,04-10-21,Devina,1
South Africa,9029502890311,8733487028914,343,20-09-21,Dode,1
Cameroon,2865772965501,4121433741419,664,19-12-21,Bobbi,1
Pakistan,8467479944993,7867359815616,644,09-10-21,Perry,1
Philippines,5642842640995,6302776955404,753,08-12-21,Steffane,1
"Virgin Islands, U.S.",8666653371746,1471838961120,488,17-08-21,Frances,1
Tunisia,6475187019045,4987596510801,107,12-06-21,Beverley,1
Turks and Caicos Islands,4655689157922,2393606459136,9,17-10-21,Carmela,1
Greenland,7532807393356,6921721888305,950,22-11-21,Clo,1
Central African Republic,3819792096279,342476678633,135,10-07-21,Winifred,1
Argentina,5837565928601,7511780702932,189,04-08-21,Kathy,1
Heard Island and Mcdonald Islands,3876895921087,4850246293075,789,11-03-21,Tarra,1
British Indian Ocean Territory,1951761462058,3432126374941,170,14-04-21,Renae,1
Portugal,8298399211090,6589576919262,996,01-12-21,Karolina,1
Åland Islands,7501788879143,8822174224618,651,26-06-21,Aurelie,1
Guadeloupe,7784262060261,2688339765464,855,14-08-21,Anestassia,1
French Southern Territories,5778639575973,3363992669418,32,28-01-21,Nadine,1
Italy,3413492991499,5280251060988,902,13-08-21,Robinia,1
Monaco,8007283954188,3522781201809,99,06-02-21,Flo,1
Malaysia,5334752876802,5584196511327,7,25-03-21,Elsie,1
Cambodia,1786760197093,8738579547657,511,28-10-21,Tina,1
